548 295
0 15 383
2 191 261
3 348 -1
4 -1 477
5 408 501
8 259 -1
10 184 441
11 504 170
12 333 109
18 150 404
19 425 485
20 400 300
22 226 181
24 215 -1
25 286 188
26 8 410
28 302 304
31 482 132
32 414 137
33 17 435
34 95 378
35 10 139
36 20 532
37 517 131
38 542 173
39 216 421
41 179 443
42 349 331
43 156 461
44 223 381
46 514 115
47 376 168
48 169 350
50 447 291
52 241 24
54 363 328
57 174 189
58 453 424
59 222 528
61 -1 19
62 254 7
63 104 272
64 141 186
65 279 518
67 499 519
68 -1 47
71 270 136
73 89 535
74 338 76
75 128 167
80 307 329
83 57 362
85 409 464
86 233 36
87 476 14
91 87 361
92 440 508
96 412 444
98 258 29
99 308 295
105 135 325
108 -1 343
109 511 -1
115 316 -1
117 12 389
118 411 125
121 26 522
122 67 526
123 92 207
124 -1 478
125 516 354
126 287 16
130 117 276
131 371 253
133 356 496
134 -1 123
138 484 523
149 385 211
150 438 448
151 403 346
153 275 415
154 101 44
158 491 430
159 431 164
161 357 119
162 332 235
164 525 342
165 238 492
166 274 397
167 463 353
168 413 70
170 1 449
171 393 120
173 322 190
175 -1 217
178 312 392
181 456 147
182 113 2
183 345 203
185 210 512
186 -1 28
187 292 127
188 368 434
189 317 208
193 133 390
194 539 466
196 380 37
197 111 4
199 219 110
201 263 451
204 488 524
210 266 545
211 306 58
212 510 145
213 351 515
215 467 426
216 94 319
217 81 -1
218 267 360
219 387 66
222 195 243
229 65 69
230 237 359
231 301 112
232 428 50
234 -1 61
237 282 160
242 42 236
243 124 -1
244 23 250
245 175 280
246 386 465
249 417 159
250 446 505
251 396 198
252 18 172
254 199 315
256 527 40
257 -1 289
258 305 -1
259 220 197
260 541 297
261 303 -1
266 64 143
267 475 395
269 433 480
270 85 321
271 88 193
272 22 206
274 462 534
275 130 72
277 391 399
278 59 157
279 355 39
281 54 -1
282 218 227
283 205 91
284 344 -1
285 122 337
287 200 62
289 262 407
290 144 201
292 293 45
293 99 30
296 213 487
297 248 382
299 97 33
300 429 544
301 377 452
303 32 -1
304 546 155
305 336 -1
307 285 330
308 283 180
310 347 34
313 271 384
316 388 457
317 116 48
319 152 108
322 256 214
325 149 140
327 459 460
328 402 318
331 -1 365
332 90 46
334 481 366
336 86 419
338 221 290
340 507 500
343 469 96
344 494 79
345 151 264
346 437 513
348 422 -1
350 468 204
352 224 530
353 -1 83
354 537 489
356 299 51
357 225 162
358 509 68
364 9 121
365 252 335
367 -1 277
369 364 106
371 6 340
373 367 -1
374 341 98
378 538 406
379 -1 506
381 194 -1
382 183 311
383 196 326
386 -1 25
387 269 375
388 202 401
392 52 -1
393 358 60
394 71 288
395 529 105
396 436 536
399 540 420
401 148 230
402 163 73
407 247 161
412 474 245
413 298 212
414 470 533
416 -1 257
418 495 114
420 165 142
422 471 -1
425 134 442
434 239 543
435 129 394
436 82 313
438 78 35
439 374 -1
441 154 324
443 439 102
445 294 244
447 -1 246
449 498 503
451 432 369
452 520 138
453 296 192
454 -1 493
456 260 177
458 320 63
460 80 486
461 41 268
462 118 -1
464 209 75
467 284 146
470 327 521
471 31 472
476 53 166
477 185 -1
478 502 265
479 187 370
480 455 445
481 56 242
482 373 103
483 309 158
484 352 372
488 153 -1
489 232 -1
490 21 231
491 323 310
492 93 178
493 171 228
494 229 77
495 281 255
497 314 458
498 531 479
499 38 176
500 251 100
501 418 423
502 107 497
505 234 339
506 74 450
508 43 405
510 490 -1
511 126 13
513 182 473
515 483 49
525 5 273
527 249 547
530 240 278
535 379 55
538 -1 334
539 27 454
543 416 427
544 84 11
546 398 3
