117 68
0 71 39
3 -1 54
5 43 79
8 93 94
9 52 100
10 53 116
13 111 42
15 84 47
18 3 1
19 96 -1
20 8 88
22 17 19
23 106 61
25 -1 13
27 109 -1
29 72 23
30 -1 66
31 87 90
33 68 24
35 -1 99
37 86 63
40 -1 95
41 51 16
44 57 33
46 75 60
47 67 112
48 32 25
49 45 77
51 -1 83
52 -1 48
53 9 2
54 -1 20
56 22 7
58 -1 56
59 5 98
60 35 26
64 58 6
65 4 10
66 110 -1
68 114 97
69 30 36
71 14 85
74 40 34
76 80 102
77 46 11
78 37 -1
79 -1 82
80 113 73
82 18 -1
83 115 31
85 38 107
86 65 70
87 78 62
91 105 59
92 28 91
93 15 -1
95 41 89
96 101 49
97 -1 81
99 27 -1
103 -1 74
106 103 104
107 -1 64
109 21 29
110 55 92
111 76 108
112 44 12
113 69 50
