213 124
0 88 72
1 121 115
2 150 168
4 163 143
5 -1 135
8 192 148
10 155 -1
16 129 180
20 21 54
21 11 182
22 4 15
23 22 80
26 95 126
28 14 165
29 196 195
30 78 92
31 50 193
33 -1 208
34 185 116
36 51 91
39 84 149
40 -1 52
42 108 142
44 -1 172
45 77 85
48 42 202
49 75 32
50 71 62
52 6 101
53 171 125
57 -1 200
59 161 3
62 55 68
64 19 133
65 64 82
66 7 122
68 113 38
70 140 25
73 81 118
75 86 111
78 43 23
79 199 210
81 44 69
82 -1 109
83 100 106
85 104 -1
86 13 124
87 49 61
88 137 5
90 -1 105
91 30 35
93 66 176
97 73 46
98 -1 120
99 144 146
101 -1 209
102 179 83
103 130 -1
105 138 197
106 97 -1
108 178 107
109 -1 204
113 24 34
115 63 123
117 48 -1
120 117 47
122 27 190
123 -1 169
125 59 96
126 184 17
127 131 177
128 41 175
130 57 212
131 -1 45
133 127 -1
135 119 153
136 65 -1
138 40 205
140 16 112
141 156 201
143 160 31
144 174 206
145 128 -1
147 8 134
148 74 145
149 -1 87
152 186 157
153 152 166
154 102 -1
155 211 -1
157 20 -1
161 167 -1
162 70 12
164 194 67
165 18 29
167 154 -1
168 -1 10
169 76 28
172 9 187
173 181 114
175 103 159
178 147 -1
180 1 -1
181 93 -1
182 207 99
183 58 203
184 164 37
185 132 173
187 33 -1
188 94 39
190 -1 183
191 -1 188
194 170 79
196 2 56
198 189 26
200 110 36
201 151 136
203 -1 162
204 98 158
206 198 139
208 60 141
209 191 -1
210 53 89
211 -1 90
