########################
Minimum Cost:
259
########################
Connections:
0 9
0 39
1 10
1 25
1 33
2 20
2 36
3 27
4 32
4 36
5 22
6 13
6 47
7 49
8 18
8 32
8 48
10 30
11 24
11 27
11 46
12 27
13 49
14 17
15 22
16 26
17 39
19 43
20 28
21 29
21 38
21 43
21 47
22 29
22 34
23 40
24 29
24 39
26 40
29 37
31 37
33 39
35 36
35 38
40 41
41 42
41 43
41 45
44 48
########################
Pings:
1: 6.000
2: 10.250
3: 5.750
4: 10.000
5: 5.250
6: 9.250
7: 13.500
8: 13.500
9: 2.500
10: 7.250
11: 4.500
12: 6.500
13: 10.000
14: 4.250
15: 4.750
16: 11.250
17: 2.000
18: 13.750
19: 9.000
20: 11.000
21: 5.750
22: 4.500
23: 12.250
24: 3.500
25: 6.250
26: 11.000
27: 5.000
28: 13.250
29: 4.250
30: 9.250
31: 8.750
32: 11.250
33: 3.750
34: 6.000
35: 7.750
36: 8.250
37: 6.500
38: 7.500
39: 1.750
40: 10.750
41: 8.500
42: 10.750
43: 8.000
44: 14.250
45: 10.250
46: 6.250
47: 7.250
48: 14.000
49: 11.000
########################
