########################
Minimum Cost:
385
########################
Connections:
0 40
0 44
0 53
1 34
1 41
1 52
2 7
2 24
2 61
3 15
3 68
4 33
4 35
5 28
5 51
6 58
7 26
7 47
7 65
8 12
9 10
9 20
10 35
11 47
12 17
12 39
12 63
13 22
13 62
14 18
14 32
14 45
15 17
15 36
16 62
17 44
18 31
19 61
21 25
21 30
22 59
23 29
24 38
25 44
26 68
27 46
27 63
28 48
29 34
29 43
30 58
33 40
33 49
34 62
35 60
35 62
37 48
38 42
40 64
42 55
44 54
44 69
45 50
45 69
47 48
49 57
49 67
56 63
62 66
########################
Pings:
1: 10.333
2: 16.333
3: 8.333
4: 4.000
5: 22.667
6: 11.000
7: 13.667
8: 6.000
9: 10.333
10: 7.000
11: 17.000
12: 4.667
13: 11.000
14: 10.333
15: 7.667
16: 9.667
17: 4.333
18: 11.667
19: 21.667
20: 12.667
21: 5.000
22: 12.333
23: 12.333
24: 19.333
25: 4.333
26: 11.333
27: 7.000
28: 21.667
29: 12.000
30: 7.333
31: 14.000
32: 13.667
33: 2.667
34: 9.667
35: 5.333
36: 11.000
37: 22.000
38: 19.667
39: 6.000
40: 2.333
41: 11.000
42: 21.333
43: 15.333
44: 2.333
45: 8.000
46: 10.333
47: 15.667
48: 19.000
49: 4.333
50: 9.000
51: 24.333
52: 11.667
53: 0.667
54: 5.000
55: 24.333
56: 7.667
57: 5.000
58: 9.333
59: 14.667
60: 5.667
61: 19.667
62: 8.333
63: 5.000
64: 4.333
65: 15.000
66: 8.667
67: 5.667
68: 10.667
69: 5.333
########################
