3
200
-29	-72	68	75	-54	11	67	47	-31	-37	-43	-91
-80	20	78	49	79	-63	21	-32	81	99	-49	-29
-81	-5	76	-74	-36	24	-27	-7	-76	-73	76	56
-94	70	-50	-20	-49	64	100	9	96	-65	53	-48
94	-44	-1	-11	-39	27	99	-73	-80	-99	-86	40
48	2	63	-77	-75	76	47	87	-92	-78	-32	34
7	-28	-8	-39	64	49	10	19	46	-60	-40	33
-82	-83	-75	99	-79	26	50	9	-94	-100	-56	19
17	-88	-41	70	0	40	-91	14	19	-59	-41	30
55	56	-70	19	-40	-84	50	66	-79	-2	20	-62
-33	85	-97	82	-13	-56	18	41	-31	21	-88	-18
75	42	-5	-4	-79	-5	82	33	74	-82	69	-49
-6	-43	54	81	8	75	63	-80	-78	-94	-96	-86
65	64	1	14	49	-16	52	11	-17	22	-42	98
-69	-99	23	66	-19	63	13	-22	-15	-72	88	-91
-46	70	9	-16	-1	97	2	-27	59	-68	-34	10
65	31	59	91	86	91	-8	-76
200
-60	52	-31	98	93	-23	71	56	90	-85	-7	-62
-97	97	76	-78	53	84	38	81	68	65	99	-67
58	38	43	-10	39	-87	-52	7	53	76	41	70
-10	94	10	-67	98	25	99	68	-64	29	-94	-91
-100	-78	-74	-11	-97	-59	-61	17	-52	26	65	-29
-60	-28	-96	49	-91	45	-25	-78	69	8	-90	-10
-81	22	-23	-82	95	-99	-36	8	3	17	33	-25
87	-9	-2	77	12	77	-79	33	-86	-68	42	-84
-37	-30	-90	-46	53	-66	68	90	87	34	-19	66
-34	2	61	-58	61	69	-45	-55	47	13	-18	-33
-57	-99	41	-5	-79	-56	-15	78	-27	-88	-78	-36
-17	22	29	-18	-86	-64	2	0	-52	-15	-1	-58
32	-10	-14	16	0	-11	-85	44	-21	-6	-41	-2
26	-88	80	-80	-65	-83	-12	-3	79	-9	49	-64
-67	45	-30	-24	-56	85	-56	-86	60	72	-89	-76
32	-54	64	37	57	20	-17	-3	-72	0	-82	-15
-45	46	-31	15	40	87	53	-3
200
90	-27	-40	15	-20	66	-16	-26	-61	66	50	-98
-49	-41	-44	69	-91	-78	28	-96	-6	8	-79	-53
74	75	-46	52	-23	-71	41	-59	5	8	-12	-81
46	-95	58	97	94	23	23	11	30	72	90	33
38	14	92	-19	-75	-71	0	76	76	-51	54	26
-46	81	70	-85	-72	-12	-76	-94	38	32	-35	-7
0	40	5	51	8	-74	28	-98	24	-21	25	-74
-84	-96	-87	95	-21	-41	63	15	13	90	-14	-36
68	25	-60	-93	73	43	-67	23	71	-90	83	53
94	-62	-81	33	-42	-84	31	-31	48	1	-52	-85
27	-45	-31	50	-85	9	-100	-97	35	-80	-10	-39
-29	66	-40	-83	46	22	-3	56	96	61	-97	23
98	70	82	93	30	-56	88	-90	-35	-73	-86	29
7	-95	-83	-67	-32	5	86	65	47	-70	40	-22
23	12	57	-79	51	-38	69	56	-21	-54	-92	88
12	-12	17	-54	-42	-49	56	-87	18	-32	7	89
-62	98	47	41	37	6	54	14
