10 10
1704	 475	 430	1657	 556	  83	1241	1988	1582	1704
1299	 225	  23	1596	 560	 825	1793	1025	1169	 426
 657	  24	  79	 250	 532	 665	 237	 688	1318	 941
1815	 890	1343	1406	1250	 411	 100	 981	1567	 171
 250	 379	1459	1626	1100	 277	 889	1477	 788	1043
 951	 331	1862	1669	1749	1815	1741	 838	1977	 633
 279	1908	1219	 448	1077	1690	1316	   6	 396	1727
 741	 975	 649	 925	 805	1826	1783	 783	 776	 775
 319	1928	 457	1577	 942	  47	  25	1722	 996	1708
 956	1013	 196	 810	 300	 624	 885	1886	1796	 744
 267	1586	 457	 309	1207	1533	 596	1090	 342	 354
