5
538 2129
57 1 379
146 1 537
1 318 331
2 115 189
144 2 743
2 161 983
2 279 663
325 2 278
2 388 388
2 447 655
2 481 533
2 510 587
2 516 570
131 3 969
306 3 71
383 3 173
4 55 627
4 131 849
4 144 289
205 4 443
222 4 350
4 272 599
4 311 621
347 4 95
4 370 544
372 4 472
4 474 327
4 503 95
25 5 581
5 124 36
5 156 849
162 5 45
5 167 627
174 5 94
5 220 480
5 238 120
421 5 616
436 5 320
94 6 909
113 6 393
150 6 966
6 236 828
301 6 550
380 6 199
400 6 687
406 6 467
6 537 274
80 7 43
128 7 115
7 130 890
149 7 400
300 7 372
34 8 75
8 47 32
8 81 689
8 224 228
430 8 185
483 8 538
8 510 985
516 8 978
27 9 901
9 75 503
173 9 874
9 188 70
220 9 947
504 9 324
532 9 281
10 115 976
160 10 688
10 176 633
189 10 319
10 248 513
10 358 384
19 11 266
63 11 849
217 11 976
411 11 290
12 40 231
337 12 913
354 12 118
12 392 98
433 12 101
12 475 626
83 13 939
300 13 462
13 307 99
13 357 736
454 13 391
60 14 866
162 14 221
14 193 862
251 14 897
418 14 109
495 14 516
15 59 926
140 15 412
15 142 433
168 15 700
15 177 909
189 15 429
234 15 295
286 15 948
360 15 540
15 367 166
15 516 752
15 522 154
27 16 784
16 107 374
129 16 197
16 168 301
16 184 882
231 16 871
16 314 401
337 16 377
20 17 336
17 57 542
149 17 737
218 17 550
17 219 602
336 17 839
17 369 587
378 17 897
18 49 806
77 18 966
96 18 748
18 138 74
148 18 557
170 18 575
18 196 335
18 199 772
222 18 388
18 232 303
281 18 925
319 18 512
18 326 68
359 18 569
41 19 496
19 138 291
19 303 626
400 19 930
496 19 72
19 501 867
20 108 159
20 219 997
20 316 694
344 20 998
20 366 513
490 20 199
95 21 347
99 21 291
21 127 280
239 21 212
21 260 498
490 21 791
22 62 978
234 22 912
468 22 137
474 22 257
480 22 936
22 496 375
23 59 749
65 23 782
105 23 894
23 115 343
234 23 147
253 23 118
23 304 319
23 365 784
467 23 191
495 23 861
24 88 31
157 24 795
24 178 729
225 24 435
232 24 103
24 336 40
24 363 731
478 24 860
24 488 221
25 142 309
166 25 53
25 174 73
195 25 305
313 25 998
25 369 601
25 443 45
458 25 457
25 481 616
26 46 55
70 26 65
80 26 381
26 331 781
26 374 921
433 26 49
442 26 684
26 490 835
26 538 680
157 27 477
348 27 558
27 381 493
504 27 566
517 27 432
535 27 199
28 156 809
28 169 370
274 28 196
284 28 458
327 28 856
28 329 487
362 28 244
29 31 212
69 29 121
29 124 997
29 247 265
29 299 901
29 351 838
406 29 47
506 29 653
29 512 939
37 30 37
190 30 123
30 238 347
324 30 294
30 443 912
30 447 181
30 515 813
204 31 701
501 31 525
51 32 860
114 32 149
32 154 431
188 32 759
32 219 659
318 32 421
32 400 555
32 519 124
100 33 810
33 115 422
187 33 585
33 478 525
102 34 715
34 108 277
34 215 87
34 268 801
281 34 477
314 34 153
339 34 677
34 380 218
432 34 604
34 494 223
512 34 736
34 538 55
35 266 815
322 35 566
370 35 763
35 396 968
433 35 544
35 493 395
524 35 737
46 36 701
36 81 176
36 114 846
453 36 204
157 37 31
183 37 200
37 192 627
37 386 602
37 398 277
37 413 945
440 37 538
37 443 995
38 45 440
194 38 85
228 38 7
230 38 292
38 399 599
439 38 404
102 39 107
128 39 551
177 39 13
39 179 657
39 215 745
220 39 545
245 39 398
295 39 290
315 39 338
356 39 186
401 39 69
39 420 339
39 503 498
506 39 664
40 199 337
312 40 962
40 424 128
490 40 525
523 40 604
41 79 996
41 83 2
161 41 692
188 41 954
