4
7656 17173
377 1 970
1715 1 760
4959 1 834
1 7515 50
3773 2 315
2 6568 582
6968 2 519
3 2196 895
3 3319 356
4 196 412
1529 4 163
5 440 209
5 2489 550
3982 5 529
5 4235 621
5 5536 651
5 6337 859
7418 5 875
6 267 884
6 1157 738
1332 6 857
1964 6 336
4817 6 808
7243 6 297
1474 7 174
7 1590 286
7 2241 334
7 4423 622
7 4672 783
7 5477 828
7 7081 256
8 121 739
162 8 639
3581 8 831
7399 8 323
9 2901 294
4100 9 630
4944 9 455
9 7503 199
252 10 849
1441 10 399
10 2932 447
10 3736 531
3901 10 122
10 4120 25
5037 10 704
10 6289 558
6808 10 476
196 11 967
11 678 614
11 1827 607
6182 11 349
7500 11 473
12 673 114
12 1479 966
5363 12 702
6165 12 16
12 6386 454
7177 12 728
13 979 342
13 1219 293
13 1269 220
13 1453 399
13 2710 631
14 19 851
330 14 56
458 15 463
15 2202 231
3734 15 345
15 5761 33
1026 16 579
16 1258 400
1362 16 361
2001 16 876
2446 16 638
3169 16 537
16 6053 492
16 6452 288
17 254 922
17 1627 363
1678 17 187
17 3898 531
4845 17 357
17 4921 428
6900 17 327
7377 17 780
7417 17 782
408 18 256
18 667 354
2003 18 127
18 2556 941
1719 19 427
19 4364 108
7159 19 61
614 20 704
20 1701 760
20 2624 991
597 21 193
21 2813 719
21 4365 125
21 5359 83
21 6648 700
22 1095 825
22 1448 668
22 1512 802
22 2500 169
2636 22 124
22 4111 892
22 5782 285
23 547 842
761 23 129
1616 23 606
5797 23 862
1637 24 809
1721 24 22
24 6366 897
25 1071 700
5237 25 912
6822 25 155
25 7237 503
26 431 939
26 606 738
26 4421 341
26 5276 509
4138 27 521
27 5091 639
5504 27 13
27 7265 614
28 3594 825
28 6004 620
29 259 402
4692 29 553
29 6497 84
7459 29 384
30 335 491
30 1233 86
1771 30 507
30 3957 416
6468 30 782
31 2015 13
5342 31 894
31 7462 77
716 32 444
32 2408 655
3044 32 953
3515 32 249
33 77 338
2321 33 291
4336 33 25
33 4569 397
5407 33 290
6382 33 139
7278 33 443
34 1243 797
34 4449 376
5000 34 604
34 6167 909
7492 34 554
35 509 246
35 2339 66
35 2836 739
3945 35 328
6546 35 208
36 187 777
850 36 204
4116 36 238
37 1130 512
37 1669 541
2676 37 803
3384 37 321
3453 37 19
4078 37 875
37 4796 654
37 6499 553
38 4829 746
38 6218 805
38 7039 266
4413 39 801
5530 39 194
7269 39 299
40 597 653
1094 40 43
2241 40 85
40 4062 636
4665 40 690
5326 40 202
41 1812 646
41 2471 113
6064 41 337
42 827 327
42 1467 9
2051 42 603
3876 42 733
42 3926 925
42 3932 681
6052 42 143
42 6942 988
7263 42 725
42 7625 440
43 171 465
43 277 170
1608 43 970
5245 43 627
2446 44 302
4628 44 286
6794 44 982
45 4504 835
45 4872 273
45 7053 995
45 7233 499
1496 46 93
46 2985 455
1038 47 480
47 2449 507
4775 47 746
6396 47 459
48 1347 585
48 1532 465
5781 48 136
48 5898 51
48 7193 180
48 7305 861
490 49 760
49 5138 865
49 5837 725
49 7185 404
50 1015 54
50 1312 378
1772 50 755
611 51 925
4536 51 444
51 7517 978
535 52 472
1077 52 69
1169 52 14
52 3232 735
3979 52 357
53 3328 924
4543 53 823
53 4799 354
5118 53 483
53 5198 294
53 6138 923
53 6993 449
54 3139 323
4079 54 828
54 4380 172
5769 54 847
6635 54 183
1443 55 248
1940 55 677
55 1995 818
4513 55 735
55 4631 140
4309 56 570
4582 56 876
5628 56 717
56 7309 139
57 155 102
301 57 363
1115 57 281
57 3009 838
57 4310 842
6808 57 49
58 2309 190
3820 58 241
58 4616 741
4632 58 997
58 4744 355
4920 58 324
5457 58 511
58 5894 496
1211 59 691
4981 59 219
59 5439 189
6071 59 48
60 1778 381
2692 60 662
4579 60 568
1030 61 728
61 1955 620
61 6478 833
61 7387 22
62 1195 662
1620 62 144
62 1788 68
5045 62 431
5057 62 972
62 5461 92
62 6798 124
63 633 57
7290 63 593
1502 64 190
64 6516 313
6842 64 36
64 7330 261
1398 65 187
65 2880 655
3992 65 679
1286 66 832
66 5204 616
66 7179 277
2207 67 546
3466 67 995
67 5977 425
67 6315 992
68 3626 777
4658 68 708
68 7471 702
2624 69 585
69 2677 831
2966 69 879
69 5379 721
69 6759 115
5683 70 769
5951 70 984
791 71 937
980 71 398
1821 71 879
71 3316 178
71 3625 850
71 5101 735
71 5223 695
5576 71 644
6235 71 723
71 6620 581
72 926 346
72 2443 582
3819 72 943
5881 72 165
1462 73 388
73 1508 528
73 3967 860
73 5199 959
74 711 424
74 5033 67
74 5531 879
74 6057 879
6918 74 425
2806 75 966
75 3236 718
4497 75 717
5872 75 938
75 7297 227
76 2612 156
76 2974 606
6492 76 368
647 77 799
77 2329 25
77 3475 265
3553 77 907
77 6184 365
77 6384 912
78 1145 962
78 1864 249
2354 78 12
6339 78 503
90 79 490
1888 79 706
3487 79 364
4481 79 554
80 4927 245
80 5253 508
80 6741 61
7298 80 424
81 1074 931
81 3266 561
3561 81 9
81 4635 164
131 82 831
2448 82 21
82 2623 509
4719 82 246
5120 82 635
6476 82 480
82 7100 780
82 7405 447
83 1236 970
83 3837 418
83 5078 275
84 4115 937
85 212 421
85 330 586
3844 85 790
85 4404 508
5417 85 415
1885 86 29
86 2695 577
86 5573 770
87 4983 505
5698 87 134
6542 87 344
7417 87 269
1710 88 214
88 2112 368
88 7227 24
1195 89 27
89 2204 671
6428 89 453
89 7194 500
90 458 937
555 90 649
90 3016 67
90 3671 105
3968 90 484
91 713 994
5095 91 738
7638 91 698
92 3928 34
4788 92 488
92 6724 671
6735 92 125
801 93 815
93 1189 234
1748 93 372
2199 93 323
93 2631 792
93 3549 85
93 6122 197
551 94 68
2093 94 916
94 4058 8
6220 94 101
684 95 105
2277 95 182
3075 95 312
96 619 839
96 1008 88
96 1489 5
96 1579 973
96 5256 285
96 5533 372
96 6169 540
6918 96 283
7055 96 453
1513 97 442
97 2055 714
1182 98 67
1296 98 302
99 2037 525
