1
NEW 0 9
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
STA 0 A
