100 1200
0 1 963
1 2 493
2 3 773
3 4 293
4 5 850
5 6 1346
6 7 1007
7 8 301
8 9 663
9 10 1145
10 11 629
11 12 886
12 13 1499
13 14 1320
14 15 570
15 16 69
16 17 1328
17 18 1092
18 19 234
19 20 937
20 21 1408
21 22 217
22 23 720
23 24 1167
24 25 1371
25 26 129
26 27 725
27 28 1098
28 29 316
29 30 639
30 31 77
31 32 1088
32 33 1490
33 34 414
34 35 1182
35 36 902
36 37 833
37 38 983
38 39 81
39 40 919
40 41 273
41 42 118
42 43 949
43 44 569
44 45 838
45 46 1078
46 47 1297
47 48 1285
48 49 478
49 50 168
50 51 1194
51 52 608
52 53 26
53 54 752
54 55 1425
55 56 1465
56 57 268
57 58 933
58 59 1062
59 60 357
60 61 841
61 62 545
62 63 1021
63 64 92
64 65 377
65 66 914
66 67 1439
67 68 868
68 69 666
69 70 1231
70 71 325
71 72 266
72 73 938
73 74 1095
74 75 1085
75 76 1351
76 77 607
77 78 282
78 79 875
79 80 231
80 81 61
81 82 260
82 83 1107
83 84 1205
84 85 461
85 86 371
86 87 1213
87 88 321
88 89 1200
89 90 563
90 91 1133
91 92 1059
92 93 764
93 94 1278
94 95 448
95 96 681
96 97 1445
97 98 1043
98 99 543
56 81 1140
26 92 1265
56 91 1407
17 89 400
3 60 1267
55 80 1272
29 54 912
0 83 1226
22 66 1162
20 43 1350
50 63 830
13 45 935
85 88 431
12 91 803
30 85 184
0 86 192
0 8 1288
38 65 788
37 43 229
10 43 497
10 79 1486
13 56 688
5 55 1175
22 91 170
71 91 1006
28 63 595
6 11 115
58 68 999
71 86 812
57 87 1257
57 67 1438
13 69 530
10 56 1367
62 76 754
30 63 717
28 99 809
45 65 728
16 65 1201
26 79 603
5 97 362
84 98 1178
21 63 532
56 88 442
29 38 1000
34 49 486
31 81 1102
61 82 1026
17 32 1372
39 87 279
30 32 1448
23 77 349
67 97 1025
8 14 495
21 45 111
16 36 1312
12 26 1483
45 90 12
30 80 469
24 33 990
13 31 1342
24 63 1436
40 48 76
33 62 866
27 81 696
5 19 1296
15 19 348
34 56 89
39 95 1255
50 70 1198
65 98 237
31 67 112
10 23 1354
40 75 320
55 94 197
20 69 1177
20 89 804
1 25 991
3 38 1476
58 60 1421
7 39 2
12 75 837
7 12 85
28 82 775
26 65 1048
53 85 1057
10 13 1032
46 61 683
85 93 899
19 36 368
23 94 1406
27 40 1229
29 33 15
86 88 1066
66 88 1261
60 76 339
4 26 485
24 28 1019
23 84 468
59 72 1002
15 61 1413
17 34 628
20 64 1110
45 96 674
2 82 1054
24 95 1498
81 92 1385
10 70 318
65 67 814
6 67 676
10 64 424
51 99 128
18 50 539
1 30 369
7 85 427
29 43 905
3 35 471
36 81 827
35 54 1082
16 77 824
9 23 239
60 78 145
78 98 515
67 73 17
32 86 1055
32 62 870
68 91 779
11 14 1067
29 77 1243
50 94 1038
39 79 322
29 46 437
21 59 37
89 94 995
29 55 90
18 42 200
2 98 1456
33 80 934
38 49 1033
28 39 212
7 25 195
78 95 889
48 93 970
29 56 1353
19 85 503
18 49 1161
15 76 739
16 28 1280
75 84 106
66 86 908
33 77 1423
13 39 1484
62 88 1270
50 64 1317
61 99 405
15 71 578
51 59 1298
22 50 1344
32 84 1349
84 97 389
17 60 1415
29 32 67
33 70 1319
8 28 807
30 69 572
50 55 1368
11 25 655
48 58 1111
8 49 1363
34 83 4
26 44 622
81 86 1375
50 81 130
0 15 707
17 76 1286
58 78 259
38 43 1360
67 95 1035
13 40 1050
53 73 1461
78 82 227
39 46 1311
7 66 1234
32 70 161
38 84 154
40 72 382
39 75 473
19 87 845
34 61 108
23 34 1437
54 60 413
3 16 346
32 54 506
29 94 45
34 71 869
40 50 1308
32 73 1128
33 64 1331
24 40 640
45 75 614
36 42 53
51 98 1496
23 55 402
65 91 731
15 47 613
7 99 391
29 66 840
55 57 216
58 63 1005
32 98 446
30 47 1334
39 59 612
63 77 1397
19 48 251
3 40 127
44 79 1003
1 84 969
