50 596
1795 5799
0 2 41
0 4 42
0 6 51
0 7 18
0 11 40
0 12 37
0 13 34
0 17 26
0 18 22
0 19 18
0 24 10
0 27 55
0 28 36
0 29 15
0 31 22
0 33 29
0 39 35
0 40 43
0 41 25
0 46 16
0 47 33
0 48 36
1 4 33
1 5 42
1 7 44
1 9 54
1 10 26
1 14 25
1 19 16
1 22 8
1 23 14
1 24 21
1 25 34
1 26 51
1 29 27
1 30 39
1 31 37
1 32 27
1 36 34
1 40 33
1 42 8
1 43 25
1 45 45
1 46 15
1 47 49
1 48 36
2 5 8
2 7 36
2 8 10
2 12 10
2 14 30
2 16 27
2 17 31
2 20 34
2 21 16
2 22 37
2 23 25
2 26 14
2 27 15
2 28 11
2 30 19
2 35 11
2 37 18
2 38 15
2 40 12
2 41 24
2 42 31
2 43 26
2 44 46
2 46 39
2 47 24
2 48 5
3 4 21
3 5 30
3 7 40
3 8 29
3 10 15
3 11 35
3 14 22
3 16 30
3 18 21
3 22 13
3 23 2
3 26 40
3 27 34
3 29 22
3 32 17
3 33 10
3 34 23
3 35 26
3 36 35
3 38 12
3 41 8
3 42 4
3 43 20
3 45 33
3 46 19
3 47 41
3 48 25
4 7 41
4 12 19
4 14 31
4 15 33
4 17 26
4 21 25
4 24 38
4 25 45
4 26 24
4 28 5
4 32 12
4 34 12
4 35 18
4 37 27
4 39 37
4 40 2
4 42 25
4 44 48
4 46 36
4 48 12
5 6 6
5 9 39
5 10 18
5 11 17
5 12 17
5 13 33
5 14 37
5 15 34
5 16 35
5 19 35
5 20 42
5 21 24
5 22 41
5 23 28
5 24 46
5 27 7
5 28 14
5 31 30
5 33 22
5 35 19
5 38 19
5 39 35
5 40 9
5 41 28
5 42 34
5 45 5
6 8 24
6 9 45
6 10 15
6 16 39
6 19 36
6 20 47
6 23 27
6 27 5
6 28 14
6 29 36
6 30 32
6 31 35
6 32 21
6 34 18
6 35 24
6 38 19
6 39 41
6 40 8
6 44 57
6 45 4
