10000 10000
1 5905 233
543 7901 584
1446 5244 870
1289 9395 983
733 9125 175
458 948 724
1050 7789 410
3063 4521 159
2226 2673 843
749 6666 624
2722 8127 166
4979 7208 961
1296 7208 247
3692 8093 327
1223 6184 779
3269 9090 823
4510 4989 230
4622 7560 447
2476 4791 539
4651 9235 602
325 7066 921
4625 5879 556
3510 9362 235
4978 7546 795
1667 2412 48
3691 7501 893
2890 5542 850
2811 6464 307
1846 5973 938
1687 4467 242
3074 8846 197
1084 6310 684
2612 6975 638
4100 8174 633
3186 4197 298
1950 9013 161
3141 9992 297
1858 9727 114
3453 9311 123
4198 6630 518
3481 4709 922
1717 8677 501
225 5533 919
3936 8263 422
4234 5368 337
3678 7567 441
2817 3196 614
201 8876 28
4082 8704 538
4621 9015 978
1449 6700 653
3518 6432 835
1784 4459 79
1085 2669 620
5023 8386 252
1594 5122 375
814 3904 528
546 9860 914
3575 7615 837
1716 1741 236
684 7031 702
2168 5046 785
2222 6203 816
2481 8653 137
2010 2317 27
2608 8022 136
3895 4736 624
2622 5426 140
3314 7613 149
4385 6015 124
4993 8762 230
3578 3931 742
3167 3478 159
294 4891 104
2499 3476 998
324 2177 826
105 5673 732
3259 4340 329
1293 7844 996
3240 7892 918
5024 5549 776
4394 5076 222
4818 5337 442
3027 9589 867
1403 5038 467
1267 6160 495
2805 5305 29
830 8318 243
4478 8904 404
3618 4135 699
1258 4577 363
1669 8746 451
4662 9899 394
3747 6027 64
4991 6547 245
1689 4769 315
1385 2840 57
611 5608 446
568 8998 327
853 4769 494
3486 9000 424
2037 5610 345
1363 2022 998
2262 7473 894
3603 3630 488
4162 7724 128
4188 7872 641
5060 9238 110
3608 6116 216
3750 9451 601
3648 5041 888
4595 6942 148
2257 7878 659
5017 5971 509
4874 8003 918
1794 2303 999
3310 4924 951
2140 3440 802
4026 7712 794
4710 6030 331
4071 9515 167
3278 4602 311
2556 5642 567
530 2630 326
854 8051 357
3423 4029 550
3479 3915 573
5014 5034 832
3542 5398 774
3180 8192 77
2384 3881 233
4541 7174 667
1586 6482 425
1130 3672 506
332 9124 803
394 5673 507
4022 4781 746
4351 4562 159
3631 8973 561
3063 5081 167
1289 9219 928
3198 6990 381
4624 7744 377
1361 6582 926
4664 5594 185
645 3518 422
2333 2992 635
1571 9715 127
1733 6944 403
3079 3642 551
198 5450 607
3393 6618 89
820 5782 658
2618 7321 178
2840 7151 29
4919 9462 215
2153 9177 991
2894 9239 927
3379 7464 856
3375 5630 903
932 2002 496
1006 9645 516
1656 2465 980
3391 5873 665
3150 5203 428
186 4935 425
4759 6334 513
4400 5137 733
4676 5405 301
431 9350 424
939 2349 268
4646 7155 114
3664 9329 341
1121 1414 678
3236 9755 50
4528 8602 642
3200 3437 875
5087 6634 734
4315 8538 995
2470 3036 764
3833 6489 590
3450 6379 433
3210 6186 733
2838 3223 794
3444 5178 147
2715 6122 170
3117 4190 431
2591 9612 920
2929 8113 562
2351 4192 566
4074 8503 834
219 5094 214
2984 7843 868
2510 8120 479
4728 8048 360
2623 2888 290
3920 5653 45
1858 6663 137
670 2820 299
2567 7971 534
1459 7438 913
4466 5560 705
2415 6239 21
5148 5159 907
3613 4394 686
871 1442 409
1276 6503 421
554 5450 244
2262 2310 612
3242 6864 222
783 8905 839
1241 8912 403
5181 9016 347
4686 5153 107
1058 5643 772
261 4680 193
1175 6782 539
378 3909 945
1626 9776 329
363 9073 253
3749 3825 282
669 5211 603
2501 7553 75
2037 9795 919
2945 3305 316
1112 5712 274
2612 8381 434
5224 9061 194
4257 5583 337
2886 2904 865
3477 6287 664
2290 8508 942
4941 6767 107
1346 2016 828
1449 8759 714
3658 7885 451
4991 9611 447
1516 4767 828
4931 7800 836
3643 7050 82
2034 8539 141
4326 7858 201
603 3529 666
3130 5659 232
4083 9301 7
4307 6886 761
3845 8780 391
5009 7594 435
1606 3872 838
2748 6184 984
3578 6230 420
1272 1704 780
2630 7500 18
1282 9617 208
4040 6525 269
4977 9221 220
3627 4201 981
5079 6063 690
4329 7341 188
1759 1803 515
5023 6026 887
2369 7101 617
2207 8656 645
4246 9899 782
2301 4076 855
2588 7582 577
4881 5024 398
286 6146 820
5081 9085 319
311 8954 82
730 2617 541
3132 9322 486
4305 9888 468
3257 5340 856
4226 8646 531
2402 8685 145
3199 4925 516
5215 6138 328
3211 7992 369
1248 9937 180
1824 8697 392
1914 6990 424
5243 6027 407
4187 9756 710
1128 4138 837
1201 4605 111
4129 4278 49
4632 7940 333
2533 3512 302
957 3981 197
3699 4764 830
523 4474 142
1239 2361 45
2792 5368 240
2812 6282 156
1039 7399 998
4797 5110 342
5051 5280 938
1820 9627 605
4916 5245 14
733 8368 597
1082 7769 895
3822 4836 393
4337 9246 262
611 3190 5
1595 2977 505
766 6314 258
1048 7207 779
3730 7106 748
1745 3449 180
2412 5071 960
924 5757 831
2969 6792 217
803 8578 875
2386 7399 516
856 3876 328
4833 9730 420
1807 8500 842
1122 6061 277
4079 7643 378
2289 9821 343
3215 5120 999
738 8123 841
2154 7598 912
1315 3785 804
4384 8245 320
1162 2012 809
3445 7991 964
2337 5044 724
4359 7058 44
4129 7906 937
2078 2422 352
1690 8109 535
5133 7278 525
4144 6834 935
4030 8000 771
2431 6165 888
1159 2585 896
954 7078 925
4295 7590 723
4911 8487 821
1257 8889 531
5297 6097 682
4688 6218 492
4918 6514 538
4412 7790 632
5060 7479 453
3676 9950 420
4451 4847 375
4542 7222 298
1356 4226 565
3213 8597 520
4359 7969 864
5208 6284 789
2591 5353 207
3850 7029 921
3043 3407 601
1007 1903 703
857 4259 248
955 6319 253
5329 5442 115
2777 7055 473
5046 5224 327
4845 5745 915
4678 8325 409
3353 9976 95
