10000 10000
1 7605 704
449 4599 392
489 7631 329
358 3911 9
343 3766 116
175 1590 942
462 870 403
336 2939 279
376 9897 557
912 7914 823
540 8162 622
497 5561 460
41 9008 815
664 9719 505
177 5808 674
331 6601 481
823 8566 162
171 3446 529
873 5384 783
497 4652 664
196 5091 150
686 6969 178
583 8693 180
871 1033 342
839 2441 657
815 3890 816
906 5469 321
291 1117 175
77 6040 5
846 8585 180
170 1163 197
317 2055 757
788 6361 957
367 2573 771
112 7965 561
361 3824 792
635 6925 55
390 7990 456
1009 7118 272
157 7806 763
88 344 48
386 5906 804
481 1934 489
457 6266 567
612 6177 244
108 3934 843
964 2185 547
284 338 517
924 2140 635
90 7580 34
613 7631 378
315 1707 168
213 3338 581
867 9704 500
830 9778 914
563 714 831
856 7397 67
292 7026 294
783 3260 687
81 4130 601
1002 7652 864
686 4430 376
769 1155 189
1007 1833 316
733 7250 823
730 2920 622
618 8545 209
1052 9326 285
680 9487 307
176 2986 600
659 2054 576
822 9210 282
715 5664 225
774 1719 246
766 6392 910
608 2196 813
364 1711 797
302 7930 760
658 2840 218
308 7011 806
996 2858 557
932 4658 551
83 6575 603
961 7713 646
1028 1366 179
410 882 818
614 2754 394
144 2551 973
530 3825 554
201 1708 469
881 4713 672
809 8685 24
665 995 902
802 7795 845
867 2607 521
178 6834 400
397 1862 457
781 7691 898
312 6972 361
955 6271 152
463 1391 221
128 8855 145
350 377 205
473 3341 978
199 5985 60
571 5943 712
120 5985 747
191 7590 313
302 3129 168
1090 6638 530
431 6893 908
593 7182 507
425 2398 877
281 9627 971
1038 1592 788
343 9229 802
816 5226 237
1041 6185 430
721 8657 763
651 5244 83
294 5998 564
1087 6504 877
805 1291 44
668 7329 320
735 6489 547
131 8777 599
586 9965 874
1104 8415 476
369 5707 360
946 3614 885
690 1304 202
667 9321 885
200 3660 429
591 4441 39
210 9472 44
799 4230 855
528 2163 831
1058 1983 424
176 7624 240
724 726 152
385 2890 687
1129 7059 106
789 8807 915
676 7409 342
607 1989 6
209 2148 749
710 1228 670
808 7686 59
1132 3733 995
931 8925 240
793 2454 579
187 8775 577
1134 5419 110
966 3809 572
577 9534 988
227 6089 551
271 1456 211
522 9774 546
603 5571 327
459 5500 321
554 6090 356
801 4451 338
438 3366 502
532 5512 924
541 3560 347
244 5116 814
951 7497 178
407 7032 974
884 4266 273
772 7477 666
654 5186 657
775 5332 284
178 5039 653
806 4892 381
895 5027 459
908 918 596
555 1605 835
1105 6774 903
217 7579 857
874 6639 340
210 1174 295
867 3325 300
879 6718 285
932 3377 5
1134 9596 89
963 9581 468
787 5532 747
776 9343 137
942 8653 831
1081 8343 213
492 5572 898
921 3656 946
358 4687 694
726 5396 995
1099 5252 772
852 6064 725
1063 5389 313
222 9472 67
215 9035 310
462 3848 964
917 9544 45
359 3351 210
447 8408 742
834 7039 646
858 9547 654
886 8178 521
1002 1905 897
290 2651 265
971 4593 879
493 6440 595
845 4775 752
409 1475 348
222 4278 978
980 4148 983
431 1071 663
228 8657 811
796 9807 893
441 9885 7
398 2730 290
773 4799 924
457 8165 121
457 5716 482
500 7716 248
1105 9976 816
451 3913 180
794 5625 760
791 1867 335
660 5346 514
425 8314 67
454 9376 655
713 6519 242
1214 9702 520
1170 5594 753
1121 7232 979
754 4261 547
1017 4971 112
294 8000 544
382 4660 741
361 5249 317
699 9217 800
327 8738 134
878 3730 72
901 9194 311
406 5121 830
511 6076 611
783 3895 21
882 5375 165
1093 6933 639
989 2597 451
399 4378 537
1226 7489 525
1060 5872 183
1136 5715 698
1082 5618 316
781 8637 853
457 6600 488
1032 2893 685
366 3426 778
948 9052 279
269 7388 254
907 8200 415
1048 9134 650
323 9439 478
1020 1775 356
1028 4422 910
1218 1570 685
1018 1784 146
838 9887 835
526 765 844
852 4719 843
629 9991 981
293 7057 41
1130 4211 150
853 7472 265
1273 6923 217
1008 7593 968
595 5179 890
373 8714 147
484 9947 730
724 2630 88
1242 7766 109
366 1803 318
1255 9438 249
794 3882 247
810 2039 331
533 5260 1
518 6344 97
835 4755 654
649 7804 451
649 6229 412
492 1545 848
530 661 173
548 4468 683
958 5517 560
870 8304 807
694 9318 390
1086 6033 937
798 4554 649
400 9358 8
500 3251 562
329 1203 800
597 5602 55
677 774 71
1075 9394 646
1074 6642 396
319 3158 186
