20
46 1035
21 36 55
14 44 10
10 12 56
13 27 90
5 20 96
20 26 12
2 23 66
36 40 80
25 42 40
28 33 31
13 37 73
21 39 67
27 28 82
7 25 27
2 15 63
1 10 98
6 38 97
6 14 86
1 29 74
16 43 22
10 26 8
14 27 43
2 18 46
24 30 26
6 31 11
29 44 47
11 19 37
6 23 92
33 45 53
8 23 70
9 37 40
41 45 100
13 20 96
21 29 37
10 13 21
23 39 3
10 22 41
13 41 87
29 38 69
5 37 49
35 44 62
4 37 75
2 16 17
32 45 44
28 46 92
10 11 38
4 17 65
7 30 18
21 34 12
16 32 46
10 31 78
31 39 24
1 11 91
20 38 85
15 32 66
6 7 53
4 14 74
5 35 90
11 20 63
11 41 20
15 41 78
19 45 49
6 18 47
24 28 25
12 33 51
16 44 100
18 34 74
27 46 54
19 32 4
37 40 41
8 44 77
2 41 63
7 16 56
25 27 35
15 35 92
7 29 30
30 42 78
3 34 12
2 28 65
27 29 36
14 28 71
23 33 87
15 43 38
25 30 40
4 24 6
2 11 66
20 24 32
33 34 97
15 33 6
28 35 46
4 18 8
12 22 65
14 37 71
13 44 20
4 26 28
22 27 6
2 26 7
8 33 32
1 7 34
28 36 63
16 41 25
13 17 88
12 39 81
21 32 98
19 40 34
41 42 28
7 13 48
34 37 78
6 44 14
9 32 17
5 26 92
28 29 33
7 26 23
16 33 28
15 44 50
24 25 42
12 28 22
40 41 82
1 13 59
10 14 49
32 36 62
1 31 62
27 37 10
11 35 45
34 42 66
14 39 74
9 11 36
14 20 89
33 36 55
11 27 18
11 25 64
22 31 99
7 31 95
16 17 10
3 6 63
17 22 57
10 36 20
27 45 43
4 32 68
14 33 35
23 27 84
5 9 28
1 27 50
6 9 24
2 36 15
6 24 16
9 27 95
20 41 57
8 46 7
28 38 25
6 36 84
19 27 72
21 45 47
7 32 37
6 28 58
11 16 12
23 43 56
20 23 35
11 21 29
23 37 44
10 28 15
36 44 35
24 41 39
3 29 75
16 18 95
33 37 79
3 37 76
15 45 47
25 37 21
10 19 70
8 35 82
18 39 86
2 8 26
3 15 18
8 10 66
33 42 12
20 42 17
20 27 93
13 39 21
8 17 100
11 22 81
18 42 96
10 45 91
21 35 3
7 43 80
31 37 81
11 31 6
30 35 65
11 23 69
28 45 84
8 19 68
19 44 24
8 14 8
24 29 45
1 25 25
21 38 92
11 29 79
25 39 66
6 34 67
37 46 86
15 19 35
14 24 50
9 20 6
23 32 13
7 11 40
15 36 52
18 28 87
31 40 81
11 40 51
8 11 25
8 27 84
13 34 37
2 17 88
24 27 85
25 29 14
15 26 19
14 29 22
23 45 15
11 43 96
13 33 60
1 36 65
3 14 21
4 13 21
25 35 65
35 41 19
30 46 11
9 36 63
25 32 78
5 32 65
11 28 12
7 10 9
24 34 59
14 41 85
7 44 4
39 40 74
17 25 72
26 41 76
27 33 79
6 19 81
2 29 20
36 39 97
36 37 18
3 11 66
3 12 17
4 12 16
39 43 86
2 30 33
34 43 92
10 33 58
21 42 39
8 39 81
5 30 22
20 32 87
17 37 47
2 13 97
4 40 43
11 39 97
1 26 100
37 44 42
7 41 68
22 32 4
9 14 6
12 43 44
7 35 65
15 20 74
18 38 69
9 39 79
32 38 29
8 22 94
8 26 29
8 40 30
7 9 50
22 37 86
2 42 82
1 42 6
18 31 49
7 8 40
20 33 2
20 34 52
26 28 78
31 38 78
9 29 41
3 10 98
16 24 14
32 34 91
4 30 77
3 4 78
29 36 86
13 31 48
10 23 30
14 21 55
15 23 83
19 36 76
30 36 70
10 16 41
30 39 87
16 46 98
15 17 44
5 41 72
3 5 18
5 16 40
21 30 1
26 32 98
10 43 40
22 35 11
1 40 68
11 34 58
1 24 23
31 42 99
5 43 72
22 36 3
21 33 10
20 39 6
